interm,yarn
method_4843,stopAll
method_3512,isUvLocked
method_3511,getWeight
method_3514,deserializeModel
method_4844,updateSoundVolume
method_3513,method_3513
method_4847,unregisterListener
method_12470,getCommand
method_3516,deserializeUvLock
method_4846,start
method_12471,isConditional
method_3515,deserializeRotation
method_4849,getAdjustedPitch
method_11140,onDifficulty
method_3518,method_3518
method_3517,deserializeWeight
method_3519,getComponents
method_11149,onEntityAttributes
method_11142,onPlayerSpawnPosition
method_12474,isAlwaysActive
method_11141,onResourcePackSend
method_12475,getCommand
method_11144,onScoreboardObjectiveUpdate
method_12472,shouldTrackOutput
method_11143,onLightUpdate
method_12473,getBlockPos
method_4850,getSoundVolume
method_11146,onPlaySound
method_12478,shouldTrackOutput
method_11145,onCommandTree
method_12479,getItemStack
method_4852,play
method_11148,onEntityStatus
method_3521,method_3521
method_12476,getMinecartCommandExecutor
method_4851,addPreloadedSound
method_11147,onKeepAlive
method_3520,getModels
method_12477,method_12477
method_3501,isTransformationDefined
method_3500,applyGl
method_3503,getTransformation
method_3502,applyGl
method_3505,method_3505
method_13790,method_13790
method_4835,isPlaying
method_3504,parseModelTransformation
method_13791,method_13791
method_12460,getType
method_4838,stopSounds
method_3507,method_3507
method_4837,reloadSounds
method_3506,method_3506
method_3509,getRotation
method_3508,method_3508
getUnsignedShort,getUnsignedShort
method_11139,onEntitySetHeadYaw
method_11138,onMobSpawn
method_12469,method_12469
method_11131,onGuiUpdate
method_13794,method_13794
method_12463,createWorldBorder
method_11130,onAdvancements
method_13795,method_13795
method_12464,getSkyAngle
method_11133,onCombatEvent
method_13792,method_13792
method_12461,update
method_11132,onVelocityUpdate
method_13793,method_13793
method_12462,hasVisibleSky
method_11135,onHeldItemChange
method_13798,method_13798
method_12467,isNether
method_11134,onVehicleMove
method_13799,executeReset
method_12468,getType
method_13796,executeQuery
method_3510,getLocation
method_12465,doesWaterVaporize
method_4840,updateListenerPosition
method_11136,onBlockUpdate
method_13797,method_13797
method_12466,getForcedSpawnPoint
method_4865,updateSoundVolume
method_3534,method_3534
method_4864,getKeys
method_3533,createStatePropertySelector
method_4867,readSounds
method_3536,deserializeSelector
method_2204,updateButtonText
method_4866,unregisterListener
method_3535,method_3535
method_4869,get
method_3538,method_3538
method_4868,isSoundResourcePresent
