interm,yarn
method_4843,stopAll
method_24459,shouldMonitorTickDuration
method_4844,updateSoundVolume
method_4847,unregisterListener
method_12470,getCommand
method_4846,start
method_12471,isConditional
method_4849,getAdjustedPitch
method_36440,registerInfestedDeepslate
method_24452,generateVinesInArea
method_24451,generateNetherWartBlocksInArea
method_24453,addPieces
method_24458,startMonitor
method_24457,unpackRgb
method_36449,offerReversibleCompactingRecipesWithInputItemGroup
method_24450,generateVineColumn
method_36441,getOutputItem
method_12474,isAlwaysActive
method_36442,getItemId
method_12475,getCommand
method_36443,offerTo
method_12472,shouldTrackOutput
method_36444,offerSingleOutputShapelessRecipe
method_12473,getBlockPos
method_4850,getSoundVolume
method_36445,offerShapelessRecipe
method_12478,shouldTrackOutput
method_36446,offerReversibleCompactingRecipesWithCompactedItemGroup
method_12479,getItemStack
method_4852,play
method_36447,offerReversibleCompactingRecipes
method_12476,getMinecartCommandExecutor
method_4851,addPreloadedSound
method_36448,offerCookingRecipe
method_12477,apply
method_4835,isPlaying
method_4838,stopSounds
method_36450,getRecipeName
method_4837,reloadSounds
method_36451,getSmeltingItemPath
method_24441,tryGenerateVines
getUnsignedShort,getUnsignedShort
method_24440,generateStem
method_24443,generateHat
method_24442,generateVines
method_12469,apply
method_36452,getBlastingItemPath
method_36454,getYaw
method_36455,getPitch
method_36456,setYaw
method_36457,setPitch
method_12468,getType
method_36458,method_36458
method_4840,updateListenerPosition
method_4865,updateSoundVolume
method_4864,getKeys
method_4866,unregisterListener
method_24439,generateHatBlock
method_4869,get
method_4868,isSoundResourcePresent
method_24431,method_24431
method_24434,tryPlaceBasalt
method_24435,stopOrPlaceBasalt
method_4870,stop
method_4872,play
method_36468,hasNoodleCaves
method_4873,play
method_4854,play
method_24427,shouldUseTallShape
method_4853,getAdjustedVolume
method_24426,getVoxelShape
drawElements,drawElements
method_4856,stop
method_4855,registerListener
method_24428,getWallShape
method_4858,play
method_4857,tick
method_4859,stop
method_24421,getStateAt
method_24420,getShapeMap
method_24423,getStateWithNeighbor
method_24422,getStateWith
method_24425,getStateWith
method_24424,isConnected
method_12441,apply
method_12442,getSelectedSlot
method_12440,getRegionFile
method_36478,collectDebugMessages
method_4860,isPlayingType
method_36479,isDebugMessageEnabled
method_2200,renderIcon
method_4801,put
method_4800,get
method_4803,method_4803
method_4805,compare
method_4804,findAll
method_4807,build
method_24496,method_24496
method_4806,add
method_24495,execute
method_4809,printArray
method_24498,method_24498
method_4808,getDebugString
method_24499,sendCoordinates
method_24490,endTickMetrics
method_24492,method_24492
method_24491,register
method_24494,method_24494
method_24487,startTickMetrics
method_24489,stopDebug
method_24488,isDebugRunning
method_36416,getBarrierState
getChar,getChar
method_36417,getDebugState
method_36418,getState
method_36419,isAirOrWater
method_36412,create
method_36413,create
method_36414,getWaterState
method_36415,getLavaState
method_4820,parseAnnouncementAddressPort
method_4823,needsUpdate
method_4825,markClean
method_12492,getSize
method_4824,addServer
method_12493,getMirror
method_4826,getServers
method_12491,hasSkyLight
method_24473,method_24473
method_24476,offerBarkBlockRecipe
method_24475,offerPlanksRecipe2
method_24478,offerBoatRecipe
method_24477,offerPlanksRecipe
method_36427,getPosition
method_36429,getTopRight
method_24472,getTexture
method_12496,getOffset
method_12497,getSeed
method_12494,getIntegrity
method_12495,apply
method_36422,method_36422
method_36425,getProjection
method_12498,getRotation
method_36426,getBottomRight
method_12499,getPos
method_4810,findAll
method_4812,getAddressPort
method_4811,getServer
method_4814,updateLastTime
method_12481,getSlot
method_4813,getMotd
method_12480,apply
method_4818,createAnnouncement
method_24463,createParticle
method_4817,setLocalPlayerUuid
method_24462,method_24462
method_24465,createParticle
method_4819,parseAnnouncementMotd
method_24464,createParticle
method_24466,createParticle
method_24469,getEntityShadow
method_36439,incrementTotalWorldTimeStat
method_24461,setAngles
method_24460,endMonitor
method_36430,getBottomLeft
method_36431,getTopLeft
method_36432,getRenderTypeTextIntensityShader
method_36433,getRenderTypeTextIntensitySeeThroughShader
method_36434,getTextIntensity
method_12489,getSuffix
method_36435,getTextIntensitySeeThrough
method_36436,method_36436
method_36437,method_36437
method_12488,getSaveDirectory
_glBindBuffer,_glBindBuffer
method_2270,createLists
method_2257,close
method_2258,renderBackground
method_2267,createButtons
instantiate,create
method_2297,compare
channelRead,channelRead
method_2282,renderIcon
method_2285,getColumnX
method_2289,renderStatItem
method_4887,getSound
method_24416,getState
method_4886,getSubtitle
method_24417,updateCurves
method_24419,method_24419
method_12436,getPrimaryEffectId
method_12430,apply
method_12431,getTradeId
method_4894,getWeight
method_12434,apply
method_4893,getSound
method_12435,getSecondaryEffectId
method_4896,hasBrokenTreeBlocks
method_4895,hasCrafted
method_4876,updateListenerPosition
method_4875,stopSounds
method_4878,registerListener
method_4877,isPlaying
method_4879,pauseAll
method_4881,stopAll
method_4880,resumeAll
method_4883,getSound
method_12423,hasChunk
method_4882,close
method_4885,add
method_4884,onSoundPlayed
method_2249,initWidgetsNormal
method_12416,getTabToOpen
method_12417,apply
method_12414,close
method_12415,getAction
method_12418,open
method_12419,getSectorData
method_2251,initWidgetsDemo
method_2252,switchToRealms
method_2253,areRealmsNotificationsEnabled
method_12410,serialize
method_4898,onTarget
method_4897,onSlotUpdate
method_4899,tick
method_12406,getRecipeId
method_12409,apply
method_12407,getName
method_12408,apply
method_12400,apply
stencilFunc,stencilFunc
method_4900,onBlockBreaking
method_4902,destroy
method_4901,onMouseUpdate
method_4904,onInventoryOpened
method_4903,onMovement
method_4906,onSlotUpdate
method_24397,waterFogColor
method_4905,isInSurvival
method_4908,onUpdateMouse
method_4907,onBlockBreaking
method_4909,onMovement
method_24391,build
method_24390,getParticleConfig
method_24393,particleConfig
method_24392,fogColor
method_24395,waterColor
method_24385,locateBiome
method_24388,getWaterColor
method_24387,getFogColor
method_24389,getWaterFogColor
method_24382,addNetherMineables
method_24381,getSquaredDistance
fetch,fetch
method_36360,shouldIncrementStat
method_36361,isGlowingLocal
method_36362,updateGlowing
method_36363,copyProperties
method_36364,method_36364
method_36366,fromRegularState
method_36368,tryGrowStalagmite
method_36369,tryGrow
method_36370,place
method_36371,canGrow
method_36372,isTip
method_36373,method_36373
method_36374,canGrow
method_36375,tryGrow
method_36376,growMerged
method_36377,changeRotation
method_36379,removeIrrelevantNbtKeys
method_36381,seaLevel
method_36382,aquifer
method_36396,hasOreVeins
method_2301,drawBackground
method_2302,getTabX
method_4966,getFoliageColor
method_2303,isClickOnTab
method_4965,getColor
method_2304,getTabCount
method_12591,apply
method_4968,create
method_2305,getTabY
method_12592,getQueryId
method_2306,drawIcon
method_2307,getRoot
method_2308,getWidget
method_36561,reloadResources
method_24573,keepRunning
method_2309,getTitle
method_24572,setLookTarget
method_24575,canRideTarget
method_24574,finishRunning
method_24577,fuzz
method_24576,getCelebrateLocation
method_24579,run
method_24578,fuzz
method_24571,shouldKeepRunning
method_24570,shouldRun
method_12595,toIndex
method_36562,finish
method_36563,reload
method_12593,getProfile
method_36564,recover
method_12594,apply
method_36565,addReloadSection
method_36567,addRecoverySection
method_12597,trackUpdate
method_2310,render
method_12598,asLongArray
method_2311,drawBackground
method_4953,getX
method_4952,normalize
method_24569,tickState
method_4954,multiplyComponentwise
method_4957,getZ
method_4956,getY
method_12581,getName
method_24562,getCloserEntity
method_24561,walkTowards
method_24564,canSee
method_24563,method_24563
method_24566,shouldRun
method_24565,isVisibleInMemory
method_24568,getAttackTarget
method_24567,run
method_24560,getEntity
method_12584,onDisconnect
method_36573,addReloadSection
method_12585,onCompression
method_36574,ofLoaded
method_36575,ofLoaded
method_12588,onSuccess
method_4962,getGrassColor
method_12586,onQueryRequest
method_4961,getWaterColor
method_12587,onHello
method_2300,onStatsReady
method_24559,getCloserEntity
method_2323,renderLines
method_24558,isNewTargetTooFar
method_4985,fixShulkerColor
method_2324,renderDescriptionBackground
compare,compare
method_4988,fixCollarColor
method_2325,renderWidgets
method_2326,getY
method_36580,onPong
method_2327,getX
method_2328,getParent
method_2329,shouldRender
method_24551,isAttackTargetVisible
method_24550,finishRunning
method_24553,run
method_24552,shouldRun
method_24555,getAttackTarget
method_24554,isNearAttackTarget
method_24557,walkTowards
method_12573,getIntendedState
method_12574,getProtocolVersion
method_4991,clampType
method_4990,fixZombieType
method_4993,removeMetadata
method_2330,wrapDescription
method_12578,getBlockState
method_2331,drawTooltip
method_12575,apply
method_2332,addToTree
method_12576,onHandshake
method_2333,setProgress
method_24548,findBreedTarget
method_2312,getScreen
method_24547,shouldKeepRunning
method_2313,move
method_2314,drawWidgetTooltip
method_24549,keepRunning
method_2315,drawIcon
method_2316,isClickOnTab
method_4978,fixEntityTree
method_2317,create
method_2318,addAdvancement
method_2319,addWidget
method_24542,getBreedTarget
method_24544,run
method_24543,shouldRun
method_24546,hasBreedTarget
method_24545,method_24545
onChunkStatusChange,onChunkStatusChange
method_4982,transform
method_2320,getSpriteIndex
method_2321,drawTextureRepeatedly
method_4983,makeTyped
method_2322,addChild
method_4920,getName
method_4922,getY
method_4921,getX
method_4924,getW
method_4923,getZ
method_4926,conjugate
method_4925,hamiltonProduct
method_4929,viewboxMatrix
method_36526,method_36526
method_36527,method_36527
method_36528,method_36528
method_36529,method_36529
_glBindRenderbuffer,_glBindRenderbuffer
method_36520,method_36520
method_36521,method_36521
method_36522,method_36522
method_36523,method_36523
method_36524,method_36524
method_36525,method_36525
method_4911,tick
method_4910,setStep
method_4913,keyToText
method_4912,onInventoryOpened
method_4915,destroyHandler
method_4914,getClient
method_4917,tick
method_4916,createHandler
method_4919,byName
method_4918,createHandler
method_36537,method_36537
method_36538,method_36538
method_36539,method_36539
method_36530,method_36530
method_36531,method_36531
method_36532,method_36532
method_36533,method_36533
method_36534,method_36534
method_36535,method_36535
method_36536,method_36536
method_4942,scale
method_4944,subtract
method_4943,getX
method_4946,clamp
method_4945,getY
method_4948,add
method_4947,getZ
method_24595,hasKilledHoglin
method_4949,set
method_24594,run
method_24597,merge
method_24596,run
method_24599,method_24599
method_24598,resetTimeLeft
method_36548,getEntityIds
method_36549,addDeathParticles
method_24591,isRideTargetClose
method_24590,run
method_24593,method_24593
method_24592,getRideTarget
method_36540,method_36540
method_36541,method_36541
method_36542,renderInGuiWithOverrides
method_36543,innerRenderInGui
method_36544,cut
method_36545,copperOreDrops
method_36546,method_36546
method_4951,cross
method_36547,createCutCopperRecipe
method_4950,dot
method_4933,projectionMatrix
method_4932,writeColumnMajor
method_36550,method_36550
method_24583,testPredicate
method_24588,shouldRun
method_36559,isOutOfBounds
method_24580,getNearestVisibleWantedItem
method_24582,anyVisibleTo
method_36553,method_36553
method_36555,getHardness
method_36557,hardness
method_36558,resistance
method_2389,drawBackground
method_12515,convertFromLegacy
method_12516,generateEndGateway
method_12514,worldContainsEndPortal
method_12519,generateNewEndGateway
method_12517,getAliveEndCrystals
method_12518,generateEndPortal
method_12511,apply
method_12512,getHand
method_12510,getPos
method_2378,isPointWithinBounds
method_2379,calculateOffset
method_12504,getMode
method_12505,shouldShowBoundingBox
method_12502,getStructureName
method_12503,shouldShowAir
method_12508,getText
method_12509,apply
method_12506,shouldIgnoreEntities
method_12507,run
method_2380,drawMouseoverTooltip
method_2381,isClickOutsideBounds
method_2382,drawItem
method_2383,onMouseClick
method_2384,handleHotbarKeyPressed
method_12500,getAction
method_2385,drawSlot
method_12501,getMetadata
method_2386,getSlotAt
method_2387,isPointOverSlot
method_2388,drawForeground
method_36504,method_36504
method_36505,method_36505
method_36506,method_36506
method_36507,method_36507
method_36508,method_36508
method_36509,method_36509
method_36500,method_36500
method_36501,method_36501
method_36502,method_36502
method_36503,method_36503
method_36515,method_36515
method_36517,method_36517
method_36518,method_36518
method_36519,method_36519
method_36510,method_36510
method_36511,method_36511
method_36513,method_36513
method_36514,method_36514
method_24537,forgetIrrelevantMemories
method_24536,resetPossibleActivities
method_24538,getFirstPossibleNonCoreActivity
main,main
method_24531,resetPossibleActivities
method_24530,setTaskList
method_24535,setMemory
method_12551,getHand
method_12550,apply
method_2351,getCommandExecutor
method_2352,syncSettingsToServer
method_4997,isIgloo
method_24526,doExclusively
method_2334,drawWindow
method_4996,removeIgloos
method_24525,remember
method_2335,getAdvancementWidget
method_2336,getTab
method_4998,renameHeightmapTags
method_24527,setTaskList
method_2337,drawAdvancementTree
method_2338,drawWidgetTooltip
method_24529,setTaskList
method_24520,isHolding
method_24522,method_24522
method_24521,disablePlayerShield
method_24524,indexTaskList
method_24523,tryEquip
method_12546,getHand
method_12547,apply
method_12541,getTarget
method_12542,apply
method_12543,getBlockHitResult
method_24515,getBlockPos
method_24514,clearToList
method_24517,method_24517
method_24516,isInRange
method_24519,method_24519
method_24518,isHolding
method_24510,updateMemoryMapValueEntry
method_24513,method_24513
method_24512,registerEntity
method_12538,tick
method_12535,countAliveCrystals
method_12536,hasPreviouslyKilled
method_2370,mouseScrolled
method_2371,scroll
method_12530,toNbt
method_2372,mouseClicked
method_2373,render
method_2374,select
method_12533,loadChunks
method_2375,complete
make,make
method_2376,discard
method_12531,findEndPortal
method_2377,keyPressed
method_12532,updateFight
method_24504,wrap
method_24506,updateBrain
method_24505,betweenSeconds
method_2359,commitAndClose
method_24508,updateMemories
method_24507,updateMemoryMapValues
method_24509,updateMemoryMap
method_24500,locateBiome
method_12526,crystalDestroyed
method_12524,resetEndCrystals
method_12525,checkDragonSeen
method_12528,dragonKilled
method_12529,respawnDragon
method_2360,onCommandChanged
method_12522,respawnDragon
method_12523,createDragon
method_2364,getTrackOutputButtonHeight
method_12520,updatePlayers
method_12521,setSpawnState
createBoolean,createBoolean
method_36480,equals
method_36485,isGuiOpen
method_36486,method_36486
method_36487,method_36487
method_36488,method_36488
method_36489,method_36489
method_36490,method_36490
method_36491,method_36491
method_36492,method_36492
method_36493,method_36493
