interm,yarn
net/minecraft/class_3310$class_3311,net/minecraft/world/gen/feature/EndSpikeFeature$SpikeCache
net/minecraft/class_7927$class_7928,net/minecraft/util/function/LazyIterationConsumer$NextIteration
net/minecraft/class_3720,net/minecraft/block/entity/BlastFurnaceBlockEntity
net/minecraft/class_3721,net/minecraft/block/entity/BellBlockEntity
net/minecraft/class_3722,net/minecraft/block/entity/LecternBlockEntity
net/minecraft/class_8066$class_8067,net/minecraft/client/texture/atlas/PalettedPermutationsAtlasSource$PalettedSpriteRegion
net/minecraft/class_3716,net/minecraft/block/SmokerBlock
net/minecraft/class_3717,net/minecraft/block/SmithingTableBlock
net/minecraft/class_3718,net/minecraft/block/StonecutterBlock
net/minecraft/class_3719,net/minecraft/block/entity/BarrelBlockEntity
net/minecraft/class_3712,net/minecraft/block/FletchingTableBlock
net/minecraft/class_3713,net/minecraft/block/GrindstoneBlock
net/minecraft/class_3714,net/minecraft/data/server/loottable/vanilla/VanillaGiftLootTableGenerator
net/minecraft/class_3715,net/minecraft/block/LecternBlock
net/minecraft/class_8899$class_8900,net/minecraft/client/particle/WhiteSmokeParticle$Factory
net/minecraft/class_6544$class_6548$class_6551,net/minecraft/world/biome/source/util/MultiNoiseUtil$SearchTree$TreeBranchNode
net/minecraft/class_2516$1,net/minecraft/nbt/NbtShort$1
net/minecraft/class_6544$class_6548$class_6550,net/minecraft/world/biome/source/util/MultiNoiseUtil$SearchTree$TreeNode
net/minecraft/class_1297$class_5799,net/minecraft/entity/Entity$MoveEffect
net/minecraft/class_3730,net/minecraft/entity/SpawnReason
net/minecraft/class_9041$class_9043,net/minecraft/client/resource/server/ReloadScheduler$PackInfo
net/minecraft/class_2400,net/minecraft/particle/DefaultParticleType
net/minecraft/class_2401,net/minecraft/block/LeverBlock
net/minecraft/class_3732,net/minecraft/entity/mob/PatrolEntity
net/minecraft/class_2402,net/minecraft/block/FluidFillable
net/minecraft/class_9041$class_9042,net/minecraft/client/resource/server/ReloadScheduler$ReloadContext
net/minecraft/class_3727,net/minecraft/block/EntityShapeContext
net/minecraft/class_3728,net/minecraft/client/util/SelectionManager
net/minecraft/class_3729,net/minecraft/client/render/entity/IllagerEntityRenderer
net/minecraft/class_3723,net/minecraft/block/entity/SmokerBlockEntity
net/minecraft/class_3725,net/minecraft/datafixer/fix/EntityCatSplitFix
net/minecraft/class_3415$class_3416,net/minecraft/structure/ShipwreckGenerator$Piece
net/minecraft/class_3726,net/minecraft/block/ShapeContext
net/minecraft/class_4339$class_4340,net/minecraft/client/realms/Ping$Region
net/minecraft/class_7849$class_7850,net/minecraft/client/gui/widget/AxisGridWidget$Element
net/minecraft/class_7849$class_7851,net/minecraft/client/gui/widget/AxisGridWidget$DisplayAxis
net/minecraft/class_447$class_4200$class_450,net/minecraft/client/gui/screen/StatsScreen$ItemStatsListWidget$ItemComparator
net/minecraft/class_3710,net/minecraft/block/BlastFurnaceBlock
net/minecraft/class_3711,net/minecraft/block/CartographyTableBlock
net/minecraft/class_7822$class_7823,net/minecraft/network/encryption/PublicPlayerSession$Serialized
net/minecraft/class_3705,net/minecraft/screen/BlastFurnaceScreenHandler
net/minecraft/class_3706,net/minecraft/screen/SmokerScreenHandler
net/minecraft/class_3708,net/minecraft/block/BarrelBlock
net/minecraft/class_3701,net/minecraft/entity/passive/OcelotEntity
net/minecraft/class_3709,net/minecraft/block/BellBlock
net/minecraft/class_7288,net/minecraft/client/render/entity/feature/WardenFeatureRenderer
net/minecraft/class_7287,net/minecraft/client/render/entity/WardenEntityRenderer
net/minecraft/class_7280,net/minecraft/client/render/entity/model/WardenEntityModel
net/minecraft/class_7281,net/minecraft/client/particle/ShriekParticle
net/minecraft/class_7299,net/minecraft/entity/passive/AllayBrain
net/minecraft/class_7297,net/minecraft/entity/ai/brain/task/WalkTowardsLookTargetTask
net/minecraft/class_2474$class_5124,net/minecraft/data/server/tag/TagProvider$ProvidedTagBuilder
net/minecraft/class_7298,net/minecraft/entity/passive/AllayEntity
net/minecraft/class_7296,net/minecraft/entity/ai/brain/task/GiveInventoryToLookTargetTask
net/minecraft/class_7293,net/minecraft/datafixer/fix/GameEventRenamesFix
net/minecraft/class_7294,net/minecraft/datafixer/schema/Schema3083
net/minecraft/class_7291,net/minecraft/util/TranslatableOption
net/minecraft/class_7290,net/minecraft/particle/ShriekParticleEffect
net/minecraft/class_8597,net/minecraft/network/packet/s2c/login/UnknownLoginQueryRequestPayload
net/minecraft/class_8598,net/minecraft/unused/packageinfo/PackageInfo8598
net/minecraft/class_7267,net/minecraft/enchantment/SwiftSneakEnchantment
net/minecraft/class_7264,net/minecraft/entity/vehicle/ChestBoatEntity
net/minecraft/class_8595,net/minecraft/network/packet/s2c/login/LoginQueryRequestPayload
net/minecraft/class_7265,net/minecraft/entity/vehicle/VehicleInventory
net/minecraft/class_8596,net/minecraft/network/packet/c2s/login/UnknownLoginQueryResponsePayload
