interm,yarn
field_44928,SCAFFOLDING
field_44929,OTHER_CLIMBABLE
field_44926,WEEPING_VINES
field_44927,TWISTING_VINES
field_44924,LADDER
field_44925,VINES
field_44923,GENERIC
field_44920,SINGLE_QUOTE
field_44921,clickTime
field_19960,parent
field_20961,outlineVertexConsumers
field_19961,serverData
field_20964,LEASH
field_32949,MIN_ALPHA
field_20965,WATER_MASK
field_32948,DEFAULT_ID
field_20967,GLINT
field_32946,BOX
field_20968,ENTITY_GLINT
field_17304,EMPTY
field_32945,HEAD_ROLL
field_17307,oldValue
field_32944,HEAD_YAW
field_32943,MIN_DISTANCE
field_32942,HORIZONTAL_SCALE
field_32941,CARET
field_32940,LEASH_PIECE_COUNT
field_44919,UNKNOWN_TRANSLATION_KEY
field_44917,onRail
field_17319,bannerSlot
field_44918,MD5_HASH
field_44916,MODIFY_INVALID_SUBSTRING_EXCEPTION
field_44914,OK
field_44911,nauseaIntensity
field_44912,prevNauseaIntensity
field_44910,NOW_TEXT
field_19971,stateChanged
field_20950,blockBreakingProgressions
field_20951,bufferBuilders
field_20952,fallbackBuffer
field_20953,layerBuffers
field_20954,currentLayer
field_20955,activeConsumers
field_32936,COMPASS_WITH_GLINT_FIRST_PERSON_MODEL_MULTIPLIER
field_20956,blockBufferBuilders
field_32935,COMPASS_WITH_GLINT_GUI_MODEL_MULTIPLIER
field_19979,playerInfo
field_17316,context
field_20959,effectVertexConsumers
field_17318,inventoryChangeListener
field_32932,GLOW_FRAME_BLOCK_LIGHT
field_17317,selectedPattern
field_17312,value
field_17314,propertyDelegate
field_17313,inventory
field_44948,wrapped
field_44949,MINECRAFT_SYMLINKS
field_44946,DEFAULT
field_29316,direction
field_44947,textRenderer
field_29317,offset
field_29318,name
field_44944,executor
field_44945,CODEC
field_29313,CEILING
field_44943,INVITING_TEXT
field_29314,FLOOR
field_29315,CODEC
field_44941,GRAY
field_17321,patternSlot
field_17320,dyeSlot
field_20986,UNDERWATER_TEXTURE
field_30309,MAX_DISTANCE
field_20987,blockColors
field_17327,GENERIC_9X6
field_17326,GENERIC_9X3
field_17329,ANVIL
field_17328,GENERIC_3X3
field_17323,output
field_17322,outputSlot
field_19984,seedEdit
a,keyCodec
b,elementCodec
field_29300,RANDOMIZED_INT_STATE_PROVIDER
field_44939,closed
field_44937,id
field_44938,texture
field_44935,ICON_HEIGHT
field_29305,values
field_44936,textureManager
field_29306,CODEC
field_44933,UNKNOWN_SERVER_ID
field_29307,minHeightForLeaves
field_44934,ICON_WIDTH
field_29308,bendLength
field_29301,CODEC
field_29302,source
field_29303,propertyName
field_44930,WATER
field_29304,property
field_20970,LIGHTNING
field_17330,BEACON
field_20972,vertexFormat
field_17332,BREWING_STAND
field_20973,drawMode
field_17331,BLAST_FURNACE
field_20975,hasCrumbling
field_29309,BENDING_TRUNK_PLACER
field_17338,LECTERN
field_17337,HOPPER
field_19999,LOGGER
field_17339,LOOM
field_17334,ENCHANTMENT
field_32952,MISSINGNO_ID
field_17333,CRAFTING
field_19998,slot
field_32951,HEIGHT
field_17336,GRINDSTONE
field_32950,WIDTH
field_17335,FURNACE
field_32982,MAX_ROTATION
field_29330,refCount
field_42309,outOfWorld
field_42308,flyIntoWall
field_42305,starve
field_29338,vertexArrayId
field_44968,OPEN_LINK
field_42304,drown
field_29339,vertexFormat
field_44969,COPY_LINK_TO_CLIPBOARD
field_42307,fall
field_42306,cactus
field_42301,hotFloor
field_42300,lava
field_29335,UV_ELEMENT
field_42303,cramming
field_29336,BLIT_SCREEN
field_44962,DEFAULT
field_42302,inWall
field_29337,LINES
field_44963,PREFIX
field_44960,allowedEntries
field_17341,SHULKER_BOX
field_44961,matcherCache
field_17340,MERCHANT
field_17343,CARTOGRAPHY_TABLE
field_17342,SMOKER
field_30329,ROLLING_HEAD_FLAG
field_17349,TITLE
field_30327,MAX_MOISTNESS
field_32989,MISSING
field_17348,MARKER
field_30328,CROUCHING_FLAG
field_32988,BUILTIN_ENTITY
field_32987,BUILTIN_GENERATED
field_30326,MAX_AIR
field_32986,BUILTIN
field_17345,data
field_17344,factory
field_17347,CAMPFIRE_COOKING
field_17346,CAMPFIRE
field_44959,COMMENT_LINE_PREFIX
field_29327,LOGGER
field_44958,LOGGER
field_44955,matcher
field_29329,LOADER
field_44953,path
field_29323,MODIFIER_CODEC
